objectType,pkOntome,identifierInNamespace,originalURI
property,18,P20,P20_had_specific_purpose
property,64,P73,P73_has_translation
property,1,P1,P1_is_identified_by
class,953,E98,E98_Currency
property,29,P31,P31_has_modified
property,50,P54,P54_has_current_permanent_location
class,20,E20,E20_Biological_Object
class,21,E21,E21_Person
property,96,P108,P108_has_produced
property,2,P2,P2_has_type
property,142,P157,P157_is_at_rest_relative_to
property,123,P135,P135_created_type
property,99,P111,P111_added
class,78,E85,E85_Joining
property,115,P127,P127_has_broader_term
property,36,P39,P39_measured
property,56,P62,P62_depicts
property,6,P7,P7_took_place_at
property,143,P160,P160_has_temporal_projection
property,120,P132,P132_spatiotemporally_overlaps_with
class,49,E51,E51_Contact_Point
class,45,E47,E47_Spatial_Coordinates
class,37,E38,E38_Image
class,44,E46,E46_Section_Definition
class,69,E75,E75_Conceptual_Object_Appellation
class,77,E84,E84_Information_Carrier
class,43,E45,E45_Address
property,102,P114,P114_is_equal_in_time_to
property,104,P116,P116_starts
property,54,P58,P58_has_section_definition
property,76,P87,P87_is_identified_by
property,74,P84,P84_had_at_most_duration
property,107,P119,P119_meets_in_time_with
property,119,P131,P131_is_identified_by
class,75,E82,E82_Actor_Appellation
class,42,E44,E44_Place_Appellation
class,39,E40,E40_Legal_Body
class,48,E50,E50_Date
class,46,E48,E48_Place_Name
property,103,P115,P115_finishes
property,1896,P88,P88_consists_of
property,105,P117,P117_occurs_during
property,106,P118,P118_overlaps_in_time_with
property,137,P149,P149_is_identified_by
property,1013,R39,R39_is_intended_for
class,260,F50,F50_Controlled_Access_Point
property,989,R15,R15_has_fragment
property,990,R16,R16_initiated
class,239,F23,F23_Expression_Fragment
class,257,F42,F42_Representative_Expression_Assignment
property,1037,R64,R64_used_name
property,1011,R37,R37_states_as_nomen
property,1020,R46,R46_assigned_to
property,992,R18,R18_created
property,994,R20,R20_recorded
class,223,F7,F7_Object
property,988,R13,R13_is_realised_in
class,253,F38,F38_Character
property,1010,R36,R36_uses_script_conversion
property,1009,R35,R35_specified_by
property,1027,R54,R54_has_nomen_language
class,252,F36,F36_Script_Conversion
property,983,R8,R8_consists_of
class,247,F31,F31_Performance
property,997,R23,R23_created_a_realization_of
property,1034,R61,R61_occured_in_kind_of_context
property,1038,R65,R65_recorded_aspects_of
property,1026,R53,R53_assigned
class,240,F24,F24_Publication_Expression
property,1006,R32,R32_is_warranted_by
class,221,F5,F5_Item
class,242,F26,F26_Recording
class,232,F16,F16_Container_Work
class,228,F12,F12_Nomen
property,1005,R31,R31_is_reproduction_of
property,1001,R27,R27_used_as_source_material
class,222,F6,F6_Concept
class,255,F40,F40_Identifier_Assignment
property,1036,R63,R63_named
property,1019,R45,R45_assigned_to
class,224,F8,F8_Event
class,241,F25,F25_Performance_Plan
property,1003,R29,R29_reproduced
class,220,F4,F4_Manifestation_Singleton
class,219,F3,F3_Manifestation_Product_Type
